Rank,Player,Team,team_long_name,Bye,POS,FG,FGA,XPT,FPTS,ATT,CMP,YDS,TDS,INTS,FL,FPTS_qb,ATT_rb,YDS_rb,TDS_rb,REC,FL_rb,FPTS_rb,REC_te,YDS_te,TDS_te,FL_te,FPTS_te,REC_wr,YDS_wr,TDS_wr,ATT_wr,FL_wr,FPTS_wr,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS_dst,ATT_flx,YDS_flx,TDS_flx,REC_flx,FL_flx,FPTS_flx,drafted_by
62,Chris Godwin,TB,Buccaneers,11,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.1,989.4,5.3,2.7,0.5,133,0,0,0,0,0,0,0,0,0,2.7,20.9,0.3,83.1,0.5,133,Ninjas
63,Rhamondre Stevenson,NE,Patriots,14,RB,0,0,0,0,0,0,0,0,0,0,0,215,890.3,5.8,42.3,1,155.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,890.3,5.8,42.3,1,155.8,Russ Riders
64,Jayden Reed,GB,Packers,10,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9,820.1,6,9,0.6,130.8,0,0,0,0,0,0,0,0,0,9,73.6,1.2,65.9,0.6,130.8,Americas Ass
65,Calvin Ridley,TEN,Titans,5,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1,930.4,6.8,2.9,0.5,134.1,0,0,0,0,0,0,0,0,0,2.9,14.6,0,68.1,0.5,134.1,Sentinels
66,Aaron Jones,MIN,Vikings,6,RB,0,0,0,0,0,0,0,0,0,0,0,189.9,872.2,5.5,43.4,1,161.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.9,872.2,5.5,43.4,1,161.8,Undrafted
67,Evan Engram,JAX,Jaguars,12,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3,786.3,4.4,0.9,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.3,0.9,102.9,Undrafted
68,Hollywood Brown,KC,Chiefs,6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,866,7,1.5,0.5,128.8,0,0,0,0,0,0,0,0,0,1.5,11.6,0,66.1,0.5,128.8,Undrafted
69,Najee Harris,PIT,Steelers,9,RB,0,0,0,0,0,0,0,0,0,0,0,240.2,959.2,6.9,29.3,1,160.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.2,959.2,6.9,29.3,1,160.8,Next Year
70,Joe Burrow,CIN,Bengals,12,QB,0,0,0,0,580.8,389.7,4230.6,30.3,11.5,3.1,305.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
71,Dak Prescott,DAL,Cowboys,7,QB,0,0,0,0,574.6,386.4,4239.3,31.1,12.2,2.8,310.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undrafted
